"vote","leave","education","age"
"leave",1,3,60
"leave",1,NA,56
"stay",0,5,73
"leave",1,4,64
"don't know",NA,2,68
"stay",0,4,85
"leave",1,3,78
"leave",1,2,51
"leave",1,3,59
"leave",1,4,68
"stay",0,4,53
"leave",1,4,52
"leave",1,4,70
"leave",1,4,39
"leave",1,NA,48
"leave",1,3,65
"stay",0,2,53
"stay",0,2,59
"leave",1,NA,50
"stay",0,4,61
"leave",1,2,81
"leave",1,4,55
"leave",1,2,65
"stay",0,5,45
"leave",1,2,75
"leave",1,NA,36
"stay",0,4,43
"leave",1,4,68
"leave",1,4,58
"leave",1,4,61
"stay",0,4,76
"stay",0,3,56
"stay",0,NA,71
"leave",1,4,34
"stay",0,5,37
"leave",1,5,62
"stay",0,3,50
"stay",0,5,46
"stay",0,4,65
"stay",0,5,69
"leave",1,4,48
"stay",0,3,54
"stay",0,5,42
"leave",1,2,78
"stay",0,3,68
"leave",1,NA,57
"stay",0,2,64
"stay",0,4,59
"stay",0,4,70
"stay",0,2,68
"leave",1,NA,53
"leave",1,4,60
"leave",1,2,48
"leave",1,2,71
"stay",0,3,63
"leave",1,2,78
"leave",1,4,63
"leave",1,1,65
"stay",0,3,62
"stay",0,4,65
"leave",1,4,53
"leave",1,3,64
"stay",0,4,71
"stay",0,4,38
"leave",1,2,70
"leave",1,3,52
"leave",1,2,36
"stay",0,4,62
"stay",0,5,37
"stay",0,4,52
"leave",1,4,71
"leave",1,4,59
"stay",0,2,57
"stay",0,3,76
"leave",1,5,65
"stay",0,4,57
"stay",0,4,67
"leave",1,5,35
"won't vote",NA,3,38
"leave",1,2,64
"leave",1,1,79
"stay",0,NA,58
"leave",1,2,50
"leave",1,3,49
"leave",1,1,64
"stay",0,2,54
"leave",1,5,70
"stay",0,4,38
"stay",0,3,46
"stay",0,4,48
"don't know",NA,4,64
"leave",1,4,64
"stay",0,2,78
"stay",0,4,72
"stay",0,4,53
"stay",0,4,52
"stay",0,4,69
"leave",1,3,67
"leave",1,2,63
"leave",1,2,68
"stay",0,4,42
"stay",0,3,74
"don't know",NA,2,67
"stay",0,4,64
"stay",0,5,39
"don't know",NA,4,45
"leave",1,5,70
"leave",1,NA,72
"stay",0,4,72
"stay",0,4,43
"leave",1,3,69
"leave",1,NA,72
"don't know",NA,4,49
"stay",0,2,54
"leave",1,NA,79
"stay",0,4,48
"leave",1,2,59
"leave",1,NA,54
"stay",0,4,64
"stay",0,5,45
"stay",0,2,64
"leave",1,2,57
"don't know",NA,NA,70
"leave",1,2,58
"leave",1,4,77
"leave",1,2,58
"stay",0,4,48
"stay",0,4,48
"don't know",NA,4,47
"stay",0,3,43
"leave",1,2,50
"leave",1,4,57
"leave",1,4,64
"leave",1,4,52
"don't know",NA,3,71
"stay",0,4,63
"leave",1,4,71
"stay",0,1,58
"won't vote",NA,4,44
"leave",1,3,45
"leave",1,5,36
"leave",1,1,69
"stay",0,1,60
"leave",1,2,52
"stay",0,2,63
"leave",1,3,70
"stay",0,4,55
"leave",1,3,38
"stay",0,4,67
"stay",0,4,45
"leave",1,3,74
"leave",1,2,50
"leave",1,3,50
"stay",0,3,58
"leave",1,2,68
"stay",0,3,54
"leave",1,3,67
"leave",1,NA,69
"leave",1,2,76
"stay",0,4,34
"leave",1,3,70
"stay",0,4,59
"stay",0,1,72
"leave",1,4,58
"stay",0,4,55
"stay",0,3,80
"leave",1,4,72
"leave",1,5,73
"stay",0,4,66
"stay",0,4,68
"leave",1,4,52
"leave",1,4,61
"leave",1,3,48
"leave",1,3,60
"leave",1,2,74
"leave",1,2,47
"stay",0,5,33
"stay",0,3,65
"leave",1,3,46
"stay",0,5,60
"stay",0,4,65
"stay",0,2,53
"stay",0,4,76
"stay",0,4,38
"stay",0,4,69
"don't know",NA,4,60
"leave",1,1,70
"leave",1,3,55
"stay",0,5,62
"don't know",NA,2,45
"stay",0,2,76
"won't vote",NA,2,57
"leave",1,5,72
"stay",0,4,40
"leave",1,2,67
"leave",1,2,57
"stay",0,4,69
"stay",0,4,74
"leave",1,NA,48
"stay",0,3,54
"stay",0,3,33
"leave",1,2,59
"leave",1,NA,78
"stay",0,4,69
"stay",0,4,73
"stay",0,3,75
"stay",0,4,54
"stay",0,4,61
"stay",0,4,65
"leave",1,4,52
"stay",0,4,45
"stay",0,4,54
"stay",0,4,54
"leave",1,2,66
"stay",0,5,64
"leave",1,3,56
"don't know",NA,4,73
"leave",1,4,37
"stay",0,4,60
"stay",0,4,37
"leave",1,4,57
"stay",0,1,60
"stay",0,NA,56
"stay",0,NA,59
"leave",1,2,59
"stay",0,5,42
"stay",0,4,37
"leave",1,4,66
"leave",1,NA,63
"stay",0,4,32
"stay",0,3,59
"stay",0,4,38
"stay",0,4,72
"leave",1,5,54
"leave",1,NA,74
"stay",0,1,73
"stay",0,2,59
"leave",1,NA,65
"stay",0,5,38
"stay",0,5,78
"leave",1,NA,61
"don't know",NA,2,58
"stay",0,4,61
"stay",0,4,69
"leave",1,4,68
"stay",0,5,63
"stay",0,4,58
"stay",0,3,77
"stay",0,3,71
"leave",1,4,47
"don't know",NA,1,83
"stay",0,4,41
"stay",0,3,34
"leave",1,NA,51
"leave",1,5,68
"stay",0,4,60
"stay",0,2,43
"stay",0,5,71
"stay",0,4,48
"leave",1,5,72
"leave",1,2,68
"leave",1,4,77
"stay",0,5,58
"leave",1,4,47
"leave",1,NA,40
"don't know",NA,4,46
"leave",1,2,69
"leave",1,NA,66
"leave",1,4,72
"stay",0,4,77
"leave",1,3,36
"stay",0,2,68
"stay",0,3,54
