classtype,reading,math,graduated
small,578,610,1
regular,612,612,1
regular,583,606,1
small,661,648,1
small,614,636,1
regular,610,603,0
small,595,610,1
small,665,631,1
regular,616,636,1
regular,624,626,1
regular,593,601,0
regular,599,564,0
regular,693,752,1
regular,545,565,1
small,565,576,0
regular,654,684,1
small,686,663,1
regular,570,601,1
small,529,583,1
small,582,582,0
small,608,583,0
small,572,562,1
regular,562,593,1
small,641,622,1
small,644,639,1
regular,565,594,0
small,650,655,0
small,552,594,0
regular,636,659,1
small,567,556,1
regular,554,577,0
small,595,636,1
regular,620,678,1
small,639,655,0
regular,633,684,1
small,614,593,1
regular,606,599,1
small,578,603,1
regular,536,558,1
regular,629,639,1
regular,675,655,1
regular,604,618,1
small,577,567,1
small,713,672,1
small,693,726,1
small,595,610,1
small,593,559,1
regular,599,624,1
small,616,614,1
small,620,596,1
small,592,629,1
regular,702,711,1
regular,636,608,1
regular,654,651,1
small,675,678,1
small,665,639,1
regular,573,561,0
regular,641,642,1
small,533,568,0
regular,616,606,0
small,670,711,1
small,654,639,1
small,686,700,1
small,693,691,1
regular,614,624,1
regular,606,580,1
small,614,648,1
small,616,711,1
small,616,663,1
small,661,620,1
small,626,672,1
small,713,691,1
regular,636,631,1
regular,675,700,1
regular,629,622,1
small,680,691,1
small,629,651,1
small,631,691,1
regular,650,648,1
small,654,691,1
regular,618,597,0
regular,604,636,1
small,657,636,0
small,675,672,1
regular,665,645,1
regular,657,663,1
regular,569,596,1
regular,650,596,1
small,600,616,1
small,675,684,1
regular,665,639,0
small,665,659,0
regular,602,626,1
regular,618,620,1
regular,608,648,1
regular,647,651,1
small,606,620,1
small,592,585,0
small,639,610,0
regular,641,601,0
regular,657,752,1
small,633,603,1
small,650,678,1
small,713,726,1
regular,614,629,1
small,588,593,1
small,713,684,1
small,647,645,1
regular,657,648,1
regular,585,620,0
regular,654,667,1
regular,552,616,1
regular,661,648,1
small,650,648,1
small,686,667,1
regular,702,678,1
small,713,700,1
regular,549,559,0
regular,597,636,1
regular,590,622,1
small,647,629,1
regular,728,667,1
regular,629,648,1
regular,680,645,0
regular,657,631,1
small,665,651,1
small,665,636,1
small,608,645,0
small,583,596,1
small,629,645,0
regular,670,684,1
small,665,597,1
small,665,691,1
regular,629,667,1
regular,614,614,1
small,608,636,1
regular,675,678,1
small,644,624,1
small,650,659,1
small,654,684,1
small,654,655,1
regular,595,594,1
regular,647,672,1
regular,543,576,1
regular,713,659,1
regular,624,612,1
regular,670,700,1
regular,680,691,1
regular,572,593,1
regular,641,659,1
small,654,667,1
regular,582,629,1
small,597,655,1
regular,633,631,1
regular,624,614,0
regular,728,726,1
small,675,634,1
regular,578,585,0
small,639,626,1
regular,680,678,1
regular,595,629,1
regular,670,639,1
regular,569,612,1
regular,602,594,1
small,661,626,1
small,650,667,1
regular,661,678,1
regular,650,645,1
small,633,636,0
small,590,620,1
regular,661,636,1
regular,686,700,1
regular,580,593,1
regular,620,672,1
small,670,659,1
regular,614,596,1
small,580,589,1
small,606,639,1
small,614,620,0
regular,622,610,1
regular,639,612,1
regular,633,663,1
regular,583,591,1
small,657,663,1
small,728,672,1
small,657,642,1
regular,636,614,0
regular,606,604,1
small,680,667,1
small,650,614,1
small,590,573,1
regular,549,571,0
